id,question,answer,text,dir,exp
16,Creuseruntrou,Creuseruntrou,,res/flags/creuseruntrou.png,
17,Decote,Decote,,res/flags/decote.png,
18,Deuxpaysenun,Deuxpaysenun,,res/flags/deuxpaysenun.png,
19,Djibouti,Djibouti,,res/flags/djibouti.jpg,
20,Eauxprofondes,Eauxprofondes,,res/flags/eauxprofondes.png,
21,Fermeracle,Fermeracle,,res/flags/fermeracle.png,
22,Lacleducoeur,Lacleducoeur,,res/flags/lacleducoeur.png,
23,Mauvaisechute,Mauvaisechute,,res/flags/mauvaisechute.png,
24,Monterenfleche,Monterenfleche,,res/flags/monterenfleche.png,
25,Nuitdelatoundra,Nuitdelatoundra,,res/flags/nuitdelatoundra.png,
26,Oaxaca,Oaxaca,,res/flags/Oaxaca.png,
27,Roidelacolline,Roidelacolline,,res/flags/roidelacolline.png,
28,Taureau,Taureau,,res/flags/taureau.png,
29,Tournante,Tournante,,res/flags/tournante.png,
30,Trefles,Trefles,,res/flags/trefles.png,
40,41,Paresseux,Paresseux,,res/flags/Paresseux.png,
41,42,Phenixsombre,Phenixsombre,,res/flags/Phenixsombre.png,
42,43,Quatretrefles,Quatretrefles,,res/flags/Quatretrefles.png,
43,44,Saintetrinite,Saintetrinite,,res/flags/Saintetrinite.png,
44,45,Soleildalamer,Soleildalamer,,res/flags/Soleildalamer.png,
45,46,Tantdaigles,Tantdaigles,,res/flags/Tantdaigles.png,
46,47,Tourdechecs,Tourdechecs,,res/flags/Tourdechecs.png,
47,48,Uneluneface,Uneluneface,,res/flags/Uneluneface.png,
48,49,Voixdufermier,Voixdufermier,,res/flags/Voixdufermier.png,
49,50,Yedefleurssaux,Yedefleurssaux,,res/flags/Yedefleurssaux.png,
