id,question,answer,text,dir,exp
1,Mauritania,Mauritania,,res/flags/flag-of-Mauritania.png,
2,Tajikistan,Tajikistan,,res/flags/flag-of-Tajikistan.png,
3,Eswatini,Eswatini,,res/flags/flag-of-Eswatini.png,
4,Malawi,Malawi,,res/flags/flag-of-Malawi.png,
5,Seychelles,Seychelles,,res/flags/flag-of-Seychelles.png,
6,Uganda,Uganda,,res/flags/flag-of-Uganda.png,
7,Kyrgyzstan,Kyrgyzstan,,res/flags/flag-of-Kyrgyzstan.png,
8,Tchad,Tchad,,res/flags/tchad.jpg,
9,Liechtenstein,Liechtenstein,,res/flags/Liechtenstein.jpg,
10,Agirhautetfort,Agirhautetfort,,res/flags/agirhautetfort.png,
11,Ambassadedesdieux,Ambassadedesdieux,,res/flags/ambassadedesdieux.png,
12,Angesduciel,Angesduciel,,res/flags/angesduciel.png,
13,Arabiesaoudite,Arabiesaoudite,,res/flags/arabiesaoudite.png,
14,Azerbaidjan,Azerbaidjan,,res/flags/Azerbaidjan.png,
15,Belliscite,Belliscite,,res/flags/belliscite.png,

